Country Name,2011,2012,2013,2014,2015
Other small states,2.306294245,2.0500905030000003,1.9291504030000002,1.8492287530000002,1.8015857240000002
Pacific island small states,1.285508277,1.256022169,1.228052074,1.205618525,1.186909649
Post-demographic dividend,0.42011887600000003,0.287312856,0.5901278320000001,0.35418470700000004,0.43905083100000003
Pre-demographic dividend,2.9513345,2.954322972,2.9483088060000004,2.926591725,2.8945242710000003
Small states,1.910844226,1.717428901,1.623258302,1.560175955,1.5227236430000002
South Asia,1.4244809930000002,1.4002385819999998,1.377519943,1.357967294,1.336820353
South Asia (IDA & IBRD),1.4244809930000002,1.4002385819999998,1.377519943,1.357967294,1.336820353
Sub-Saharan Africa,2.771676542,2.767997738,2.7596172739999996,2.746904808,2.730896719
Sub-Saharan Africa (excluding high income),2.772227897,2.768171293,2.759708285,2.747007048,2.7309989519999998
Sub-Saharan Africa (IDA & IBRD countries),2.771676542,2.767997738,2.7596172739999996,2.746904808,2.730896719
Upper middle income,0.776050122,0.798140607,0.8066867120000001,0.802973378,0.782182096
World,1.2020176390000001,1.1780311959999998,1.222106398,1.180142113,1.182417808
Afghanistan,2.983978666,3.135546164,3.1643362739999996,3.033472553,2.802986283
Albania,-0.283303108,-0.156175016,-0.12403184699999999,-0.103552395,-0.15518380699999998
Algeria,1.872060709,1.948088888,1.974814461,1.940399184,1.86309983
American Samoa,-0.5768276139999999,-0.16102334699999998,0.135711011,0.238404968,0.187434723
Andorra,-2.510551958,-3.7247101430000003,-4.3996839219999995,-4.19194055,-3.229397128
Angola,3.3474133000000004,3.331567413,3.306204563,3.2695524060000003,3.2265056569999997
Antigua and Barbuda,1.047989749,1.034875307,1.023163952,1.0117011409999999,1.004835565
Argentina,1.044287673,1.049809261,1.047065055,1.033055553,1.010993037
Armenia,0.151328197,0.34828281200000005,0.46404666,0.465529171,0.38374074700000005
Aruba,0.333115822,0.44731855200000004,0.5143352760000001,0.503969821,0.43216196100000004
Australia,1.389527316,1.722895219,1.69747275,1.488744923,1.342305215
Austria,0.33708084200000005,0.455937472,0.584103986,0.730867277,0.8105258120000001
Azerbaijan,1.303000855,1.328763827,1.293447027,1.248208997,1.212017404
"Bahamas, The",1.616713861,1.536224957,1.453715074,1.37024992,1.287833609
Bahrain,3.482175173,2.08850552,1.181525215,0.92227535,1.117650683
Bangladesh,1.172933905,1.199882864,1.216351172,1.214377385,1.198570972
Barbados,0.369889455,0.347930381,0.327257096,0.309958314,0.29422408699999997
Belarus,-0.17929657300000001,-0.09505202199999999,0.021130481,0.17942904199999998,0.315856232
Belgium,1.386849113,0.726031655,0.489184301,0.43183733799999996,0.48415211799999996
Belize,2.3307682919999997,2.256891106,2.198943059,2.159305277,2.132591267
Benin,2.7954576639999997,2.72747256,2.674807796,2.641076758,2.619974108
Bermuda,-0.8598980409999999,0.362431076,0.313281274,0.21230442600000002,0.147377147
Bhutan,1.6523702759999999,1.553599543,1.4584320419999999,1.3649452359999998,1.275735916
Bolivia,1.600245545,1.580226809,1.561845764,1.545278399,1.529800311
Bosnia and Herzegovina,-0.076895311,-0.10158303,-0.12770599400000002,-0.156496091,-0.187153386
Botswana,2.024220198,2.042259924,2.027669106,1.9756140569999998,1.898494963
Brazil,0.953765381,0.935181982,0.913687864,0.886360083,0.8550529490000001
British Virgin Islands,2.477951524,2.144825825,1.9003854930000001,1.7973643480000001,1.782232025
Brunei Darussalam,1.5493312080000001,1.507938953,1.4656123769999998,1.422402986,1.3785904919999998
Bulgaria,-0.6412289210000001,-0.579220596,-0.559647217,-0.568389264,-0.638069468
Burkina Faso,2.992039203,2.9604399,2.932567203,2.911018317,2.893466212
Burundi,3.418642812,3.358846017,3.316265,3.297803748,3.292392347
Cabo Verde,0.9700361590000001,1.1467663259999998,1.267316352,1.302061946,1.275336115
Cambodia,1.585249184,1.62554555,1.646993135,1.641596126,1.6163085130000001
